Entidad,tipo_de_dato,Sector,oct_22,nov_22,oct_23,nov_23
Durango,Variación anual del índice,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,ND,ND,ND,ND
Durango,Variación anual del índice,"54 Servicios profesionales, científicos y técnicos",ND,ND,ND,ND
Durango,Variación anual del índice,61 Servicios educativos,ND,ND,ND,ND
Durango,Variación anual del índice,62 Servicios de salud y de asistencia social,ND,ND,ND,ND
Durango,Variación anual del índice,"71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",ND,ND,ND,ND
Durango,Variación anual del índice,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,-22.7,235.9,-35.8,-34.6
Guanajuato,Índice,51 Información en medios masivos,38.0,59.2,45.8,56.7
Guanajuato,Índice,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,126.1,120.0,113.1,113.0
Guanajuato,Índice,"54 Servicios profesionales, científicos y técnicos",ND,ND,ND,ND
Guanajuato,Índice,61 Servicios educativos,ND,ND,ND,ND
Guanajuato,Índice,62 Servicios de salud y de asistencia social,ND,ND,ND,ND
Guanajuato,Índice,"71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",ND,ND,ND,ND
Guanajuato,Índice,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,79.5,81.0,83.8,84.1
Guanajuato,Variación anual del índice,51 Información en medios masivos,-31.9,13.8,20.5,-4.2
Guanajuato,Variación anual del índice,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,-0.6,10.9,-10.3,-5.8
Guanajuato,Variación anual del índice,"54 Servicios profesionales, científicos y técnicos",ND,ND,ND,ND
Guanajuato,Variación anual del índice,61 Servicios educativos,ND,ND,ND,ND
Guanajuato,Variación anual del índice,62 Servicios de salud y de asistencia social,ND,ND,ND,ND
Guanajuato,Variación anual del índice,"71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",ND,ND,ND,ND
Guanajuato,Variación anual del índice,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,3.2,-17.8,5.4,3.8
Guerrero,Índice,51 Información en medios masivos,36.4,46.0,48.6,19.2
Guerrero,Índice,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,115.7,108.2,115.3,18.0
Guerrero,Índice,"54 Servicios profesionales, científicos y técnicos",ND,ND,ND,ND
Guerrero,Índice,61 Servicios educativos,ND,ND,ND,ND
Guerrero,Índice,62 Servicios de salud y de asistencia social,ND,ND,ND,ND
Guerrero,Índice,"71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",ND,ND,ND,ND
Guerrero,Índice,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,79.3,82.3,81.7,57.3
Guerrero,Variación anual del índice,51 Información en medios masivos,-8.1,50.3,33.6,-58.2
Guerrero,Variación anual del índice,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,-21.6,-23.7,-0.3,-83.4
Guerrero,Variación anual del índice,"54 Servicios profesionales, científicos y técnicos",ND,ND,ND,ND
Guerrero,Variación anual del índice,61 Servicios educativos,ND,ND,ND,ND
Guerrero,Variación anual del índice,62 Servicios de salud y de asistencia social,ND,ND,ND,ND
Guerrero,Variación anual del índice,"71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",ND,ND,ND,ND
Guerrero,Variación anual del índice,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,-8.8,-12.0,3.0,-30.4
Hidalgo,Índice,51 Información en medios masivos,44.5,62.1,52.8,53.8
Hidalgo,Índice,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,ND,ND,ND,ND
Hidalgo,Índice,"54 Servicios profesionales, científicos y técnicos",ND,ND,ND,ND
Hidalgo,Índice,61 Servicios educativos,ND,ND,ND,ND
Hidalgo,Índice,62 Servicios de salud y de asistencia social,ND,ND,ND,ND
Hidalgo,Índice,"71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",51.4,49.5,58.1,58.9
Hidalgo,Índice,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,69.2,64.7,79.9,73.7
Hidalgo,Variación anual del índice,51 Información en medios masivos,-11.9,20.1,18.8,-13.3
